data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X000031,COMPLETED,2013,Melbourne (CBD),17,The Duke 142-148 Flinders Street MELBOURNE VIC 3000,104021,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,144.9700863,-37.8164075,"-37.8164075, 144.9700863"
Pre May 16,X000034,COMPLETED,2014,Melbourne (CBD),17,82 Flinders Street MELBOURNE VIC 3000,104031,,,,,27,28,0,3,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9719344,-37.81587493,"-37.81587493, 144.9719344"
Pre May 16,X000991,COMPLETED,2009,West Melbourne (Industrial),1004,620-628 Footscray Road WEST MELBOURNE VIC 3003,104048,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,0,0,0,0,0,0,0,0,144.9158128,-37.80594063,"-37.80594063, 144.9158128"
Pre May 16,X000368,COMPLETED,2002,Carlton,245,251-257 Cardigan Street CARLTON VIC 3053,104450,,,,,4,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9651041,-37.80077072,"-37.80077072, 144.9651041"
Pre May 16,X000642,COMPLETED,2012,Kensington,512,16-28 Bent Street KENSINGTON VIC 3031,104625,,,,,5,53,0,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9347421,-37.7955797,"-37.7955797, 144.9347421"
Pre May 16,X000578,COMPLETED,2011,West Melbourne (Residential),419,101-107 Hawke Street WEST MELBOURNE VIC 3003,104727,,,,,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9467614,-37.80771071,"-37.80771071, 144.9467614"
Pre May 16,X000542,COMPLETED,2011,North Melbourne,377,3-11 High Street NORTH MELBOURNE VIC 3051,104822,,,,,8,0,0,0,0,0,149,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9538188,-37.79958363,"-37.79958363, 144.9538188"
Pre May 16,X000569,COMPLETED,2004,West Melbourne (Residential),413,74-80 Ireland Street WEST MELBOURNE VIC 3003,105094,,,,,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9438946,-37.80667311,"-37.80667311, 144.9438946"
Pre May 16,X000243,COMPLETED,2014,West Melbourne (Residential),91,55-63 Jeffcott Street WEST MELBOURNE VIC 3003,105106,,,,,14,68,0,64,4,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,29,0,144.9517978,-37.8121999,"-37.8121999, 144.9517978"
Pre May 16,X000006,COMPLETED,2010,Melbourne (CBD),11,27-31 King Street MELBOURNE VIC 3000,105294,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710,0,0,0,0,0,0,0,0,0,0,0,144.9569486,-37.81975556,"-37.81975556, 144.9569486"
Pre May 16,X000180,COMPLETED,2005,Melbourne (CBD),71,Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,105318,,,,,4,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9541999,-37.81367556,"-37.81367556, 144.9541999"
Pre May 16,X000241,COMPLETED,2010,West Melbourne (Residential),91,369-379 King Street WEST MELBOURNE VIC 3003,105325,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524,232,0,0,0,0,0,0,0,0,0,0,144.9532516,-37.81166295,"-37.81166295, 144.9532516"
Pre May 16,X000250,COMPLETED,2004,Melbourne (CBD),93,378-392 La Trobe Street MELBOURNE VIC 3000,105477,,,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22962,0,0,0,0,0,0,0,0,0,0,0,144.9580435,-37.81091468,"-37.81091468, 144.9580435"
Pre May 16,X000398,COMPLETED,2005,Carlton,258,97-113 Leicester Street CARLTON VIC 3053,105509,,,,,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9601751,-37.80336538,"-37.80336538, 144.9601751"
Pre May 16,X000392,COMPLETED,2007,Carlton,257,130-138 Leicester Street CARLTON VIC 3053,105522,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,443,0,0,0,0,0,0,0,0,0,0,144.9609861,-37.80298579,"-37.80298579, 144.9609861"
Pre May 16,X000389,COMPLETED,2015,Carlton,257,108-128 Leicester Street CARLTON VIC 3053,105523,,,,,14,0,0,0,0,0,414,0,414,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,5,118,0,144.961044,-37.80334797,"-37.80334797, 144.961044"
Pre May 16,X000529,COMPLETED,2009,North Melbourne,370,91-101 Leveson Street NORTH MELBOURNE VIC 3051,105618,,,,,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9508063,-37.80197679,"-37.80197679, 144.9508063"
